Neighborhood,price,space
الرمال,445900,22750
الرمال,406660,25157
الرمال,391000,23400
الرمال,449476,27241
الرمال,569205,40950
الرمال,525420,37800
الرمال,477360,31200
الرمال,426580,40000
الرمال,1279822,27600
الرمال,563040,28800
الرمال,530000,37200
الرمال,497472,24740
الرمال,533520,35568
الرمال,564969,22800
الرمال,556002,30889
الرمال,510840,28380
الرمال,413280,22960
الرمال,458640,25480
الرمال,627900,45500
الرمال,627665,45483
الرمال,300000,96036
الرمال,479160,29040
الرمال,479160,29040
الرمال,479160,29040
الرمال,479160,29040
الرمال,710309,31000
الرمال,1197766,96594
الرمال,1202711,87153
الرمال,1225688,88818
الرمال,835000,24000
الرمال,2170198,165664
الرمال,2318544,214680
الرمال,576225,44325
الرمال,600000,50835
الرمال,1018500,105000
الرمال,773363,47100
الرمال,300000,45778
الرمال,400000,43503
الرمال,555274,44422
الرمال,555274,44422
الرمال,888030,60824
الرمال,860696,84382
الرمال,585704,57422
الرمال,1229970,112997
الرمال,928047,90985
الرمال,1305600,96000
الرمال,1200000,96000
الرمال,1200000,96000
الرمال,928169,90997
الرمال,928169,90997
الرمال,1063553,90902
الرمال,958320,79200
الرمال,955060,95506
الرمال,955040,95504
الرمال,681368,64280
الرمال,1258369,103145
الرمال,1066280,87400
الرمال,1066280,87400
الرمال,1066280,87400
الرمال,1066280,87400
الرمال,1066280,87400
الرمال,1086056,89021
الرمال,1078760,88423
الرمال,1110224,91002
الرمال,1180875,96793
الرمال,510000,141804
الرمال,440975,28450
الرمال,465350,29700
الرمال,756000,63000
الرمال,792000,66000
الرمال,900000,40600
الرمال,291000,45000
الرمال,650000,49000
الرمال,540000,35000
الرمال,1634850,77850
الرمال,1471075,77425
الرمال,647500,35000
الرمال,647500,35000
الرمال,1129503,59448
الرمال,1313375,69125
الرمال,1313375,69125
الرمال,1387500,75000
الرمال,1855755,89650
الرمال,3918000,191658
